use_mup,learning_rate,embed_dim,depth,num_steps,loss
True,9e-05,256,2,25000,0.29171305894851685
True,9e-05,256,2,25000,0.29705148935317993
True,0.02187,256,2,50000,0.233918696641922
True,0.02187,256,2,50000,0.23323260247707367
True,0.00027,256,2,25000,0.25719672441482544
True,0.00027,256,2,25000,0.2566937208175659
True,0.00081,256,2,25000,0.23797419667243958
True,0.00081,256,2,25000,0.2363491654396057
True,0.00243,256,2,25000,0.23331603407859802
True,0.00243,256,2,25000,0.22768385708332062
True,0.00081,256,8,10000,0.2291259616613388
True,0.00243,256,8,10000,0.22563353180885315
True,0.00729,256,2,25000,0.2339712679386139
True,0.00729,256,2,25000,0.23409518599510193
True,0.00027,512,4,25000,0.21739670634269714
True,0.00027,512,4,25000,0.21402202546596527
True,0.02187,256,2,25000,0.24526333808898926
True,0.02187,256,2,25000,0.24475793540477753
True,0.00729,256,8,10000,0.2298963963985443
True,0.00027,256,8,10000,0.2455378770828247
True,9e-05,256,8,10000,0.26746904850006104
True,0.02187,256,8,10000,0.24991053342819214
True,0.00081,512,4,25000,0.20240038633346558
True,0.00081,512,4,25000,0.2008855789899826
True,9e-05,256,8,10000,0.26613548398017883
True,0.00027,256,8,10000,0.24553072452545166
True,0.00081,256,8,10000,0.22689789533615112
True,0.00243,256,8,10000,0.22671139240264893
True,0.00243,512,4,25000,0.20080256462097168
True,0.00243,512,4,25000,0.19944389164447784
True,0.00729,256,8,10000,0.2316277027130127
True,3e-05,256,8,10000,0.3091764748096466
True,3e-05,256,8,10000,0.31016436219215393
True,0.00027,1024,8,50000,0.19175708293914795
True,0.00027,1024,8,50000,0.1913084089756012
True,3e-05,1024,8,50000,0.2241622656583786
True,3e-05,1024,8,50000,0.22297686338424683
True,0.00081,1024,8,50000,0.18376949429512024
True,9e-05,1024,8,50000,0.20400133728981018
True,0.00081,1024,8,50000,0.18487600982189178
True,9e-05,1024,8,50000,0.20497828722000122
True,0.00243,1024,8,50000,0.183164581656456
True,0.00729,1024,8,50000,0.1906236857175827
True,0.00243,1024,8,50000,0.18384826183319092
True,0.00729,1024,8,50000,0.18569812178611755
True,0.02187,1024,8,50000,0.20379051566123962
True,0.02187,1024,8,50000,0.2014562040567398
True,9e-05,512,4,25000,0.24168376624584198
True,0.00729,512,4,25000,0.20461644232273102
True,3e-05,512,4,25000,0.2767709493637085
True,0.02187,512,4,25000,0.2176961898803711
True,9e-05,512,4,25000,0.24086931347846985
True,0.00729,512,4,25000,0.2029767632484436
True,3e-05,512,4,25000,0.2800743579864502
True,0.02187,512,4,25000,0.20945459604263306
False,3e-05,256,2,10000,0.4936671257019043
False,3e-05,512,2,10000,0.4336022734642029
False,9e-05,256,2,10000,0.3658294379711151
